artist,artist_id,followers,genres,popularity
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,2302412,"[u'pop', u'post-teen pop']",74
Flume,6nxWCVXbOlEVRexSbLsTer,1541369,"[u'australian alternative rock', u'australian dance', u'downtempo', u'pop']",72
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,2125005,"[u'dance pop', u'pop', u'post-teen pop']",84
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,15095043,"[u'dance pop', u'edm', u'pop']",86
Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,2226548,"[u'pop', u'pop rap']",73
Piso 21,4bw2Am3p9ji3mYsXNXtQcd,1335143,"[u'colombian pop', u'latin', u'pop', u'reggaeton']",80
Hearts & Colors,3wjsrpfO6odEphTZWx45RQ,74151,"[u'channel pop', u'neo mellow', u'post-teen pop', u'viral pop']",62
The Jackson 5,2iE18Oxc8YSumAU232n4rW,588317,"[u'motown', u'soul']",68
AJR,6s22t5Y3prQHyaHWUN1R1C,408618,[u'modern rock'],73
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,472472,[u'pop'],73
KYLE,4qBgvVog0wzW75IQ48mU7v,576768,"[u'hip hop', u'pop', u'pop rap', u'rap']",77
Nause,4PVn1b2WnnXdq80C7uaZLZ,190951,"[u'big room', u'deep pop edm', u'edm', u'progressive electro house', u'swedish idol pop', u'swedish pop', u'tropical house']",52
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,2325568,"[u'classic soul', u'disco', u'funk', u'motown', u'northern soul', u'quiet storm', u'soul']",72
Kiiara,4u5smJBskI6Adzv08PuiUP,447183,"[u'electropop', u'indie poptimism', u'pop', u'post-teen pop']",72
Future,1RyvyyTE3xzB2ZywiAwp0i,6867746,"[u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",87
Charly Black,5sK8BsvyDl4TFA6KaBf8or,116687,[u'dancehall'],63
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,6988864,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",88
Thalía,23wEWD21D4TPYiJugoXmYb,1237772,"[u'latin', u'latin pop', u'mexican pop', u'pop']",69
Flo Rida,0jnsk9HBra6NMjO2oANoPY,6167365,"[u'dance pop', u'edm', u'pop', u'pop rap', u'post-teen pop']",77
Dante Klein,1b4DN8Vj0dnj5cceMFsRYN,11710,[],57
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,428208,[u'pop'],71
Gente De Zona,2cy1zPcrFcXAJTP0APWewL,903123,"[u'latin', u'latin hip hop', u'latin pop', u'pop', u'reggaeton', u'tropical']",73
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2972580,"[u'pop', u'pop rap', u'rap', u'trap music']",86
San Holo,0jNDKefhfSbLR9sFvcPLHo,313697,"[u'bass trap', u'edm', u'electronic trap', u'pop', u'tropical pop edm']",67
Farruko,329e4yvIujISKGKz1BZZbO,3945975,"[u'latin', u'latin hip hop', u'reggaeton', u'trap latino', u'tropical']",80
State of Sound,05o1zW8b6PV6rEquXr74sB,16807,"[u'deep pop edm', u'deep tropical house', u'tropical house']",56
Joel Adams,36jaGQtMj5UWD0eO1fCVdD,81314,[],58
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,1193567,"[u'dance pop', u'pop', u'post-teen pop', u'tropical house']",84
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,162358,"[u'indie r&b', u'pop', u'pop rap', u'rap']",69
Sean Paul,3Isy6kedDrgPYoTS1dazA9,1863186,"[u'dance pop', u'dancehall', u'pop', u'pop rap', u'reggae fusion']",81
Kygo,23fqKkggKUBHNkbKtXEls4,3330867,"[u'edm', u'pop', u'tropical house']",84
Skrillex,5he5w2lnU9x7JFhnwcekXX,6589241,"[u'brostep', u'complextro', u'edm', u'electro']",77
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,1520847,"[u'dance pop', u'electropop', u'metropopolis', u'pop', u'post-teen pop', u'swedish electropop', u'swedish pop', u'swedish synthpop']",74
James Hersey,0lzV2CiahHRiGd6qpADtPS,35242,[],58
Eminem,7dGJo4pcD2V6oG8kP0tJRR,18332748,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",87
M.I.A.,0QJIPDAEDILuo8AIq3pMuU,689502,"[u'dance pop', u'escape room', u'new rave', u'pop']",64
James Bay,4EzkuveR9pLvDVFNx6foYD,1923498,"[u'neo mellow', u'pop']",75
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,8059905,"[u'pop rap', u'rap']",90
Post Malone,246dkjvS1zLTtiykXe5h60,5079546,"[u'pop', u'rap']",95
MiC LOWRY,0AJUYWKztkg5dnrHDIBv47,33038,[],44
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,2845775,"[u'funk', u'motown', u'quiet storm', u'soul']",73
JAY Z,3nFkdlSjzX9mRTtwJOzDYB,4224143,"[u'bulgarian hip hop', u'east coast hip hop', u'hip hop', u'pop rap', u'rap']",81
JP Cooper,4kYGAK2zu9EAomwj3hXkXy,219106,"[u'neo mellow', u'pop', u'tropical house']",71
DVBBS,5X4LWwbUFNzPkEas04uU82,689504,"[u'big room', u'deep big room', u'edm', u'electro house', u'pop', u'progressive electro house', u'tropical house']",68
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,5254937,"[u'dance pop', u'pop', u'post-teen pop']",77
Milky Chance,1hzfo8twXdOegF3xireCYs,963315,[u'german pop'],69
Passenger,0gadJ2b9A4SKsB1RFkBb66,1735161,"[u'neo mellow', u'pop']",72
Sam Smith,2wY79sveU1sp5g7SokKOiI,6154123,[u'pop'],82
Mura Masa,5Q81rlcTFh3k6DQJXPdsot,356061,[],66
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,10586237,"[u'dance pop', u'pop', u'post-teen pop']",84
The Killers,0C0XlULifJtAgn6ZNCW2eu,3636973,"[u'indie rock', u'modern rock', u'permanent wave', u'rock', u'vegas indie']",76
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,2697165,"[u'indie r&b', u'pop', u'pop rap', u'r&b', u'rap', u'trap music']",76
Hozier,2FXC3k01G6Gw61bmprjgqS,2395338,"[u'folk-pop', u'pop']",72
VÉRITÉ,1Fr6agZ6iSM5Ynn2k4C8sc,134132,"[u'brooklyn indie', u'electropop', u'indie electro-pop', u'indie poptimism', u'indie r&b', u'indietronica', u'metropopolis', u'pop', u'shimmer pop', u'vapor pop', u'vapor soul']",60
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,6626892,"[u'dance pop', u'pop', u'pop rap', u'r&b', u'rap']",86
Snakehips,2FwJwEswyIUAljqgjNSHgP,245914,"[u'dance pop', u'edm', u'electropop', u'indie poptimism', u'pop', u'post-teen pop', u'tropical house']",68
