track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
5ZX1X9Rl4zbx1Wwyn3idVD,0.54,0.119,135.655,0.077,0.35,2.84e-06,0.659,4,283295.0,-8.065,0,0.139
3zesxb7sOGbeSwUrzLUP0f,0.196,0.116,104.047,0.0323,0.74,2.81e-06,0.415,6,187157.0,-10.368,0,0.223
6t4rYZeShwJai1YSs0tWOQ,0.394,0.12,78.603,0.0997,0.757,0.000134,0.448,2,183536.0,-10.376,1,0.4
6TwcRSQgztJFw8tQDrs35D,0.28,0.11,127.149,0.0616,0.805,9.28e-05,0.496,10,208903.0,-9.156,1,0.113
5gIRPQWULwrvIt0F6pY7ph,0.661,0.0951,107.016,0.0375,0.234,0.0,0.604,0,221440.0,-5.914,1,0.506
6AUuRg513AfT50d52O60fS,0.324,0.113,129.639,0.0333,0.796,0.0,0.499,1,209380.0,-8.005,1,0.335
5hcisvFMidkMJlElTO9Qmw,0.681,0.0962,140.006,0.0983,0.423,0.0,0.807,11,297485.0,-6.268,1,0.676
4lESS6vuruP6a79KWRaQou,0.768,0.162,98.989,0.122,0.283,2.25e-05,0.871,4,184067.0,-5.401,0,0.765
0Gux2yTMWYOlcBUNjGJu5p,0.431,0.164,125.2,0.486,0.0101,7.03e-05,0.595,10,227707.0,-7.282,1,0.107
33bnxcjePIkcmNjEFTJX0l,0.788,0.0753,170.019,0.0785,0.0482,0.0,0.681,1,220117.0,-4.323,1,0.839
4nYsmWkuTaowTMy4gskmBw,0.612,0.0852,109.959,0.0693,0.0805,3.83e-06,0.792,5,199849.0,-5.212,0,0.42
4lUnFLtn8w3W76FiYDRzmO,0.603,0.112,126.116,0.0507,0.0803,0.0,0.648,8,190643.0,-5.098,1,0.488
4S2WtfT03YDIlXEwSX4Tjd,0.308,0.137,126.956,0.0477,0.591,1.61e-06,0.504,10,226731.0,-8.605,1,0.205
6NWl2m8asvH83xjuXVNsuG,0.419,0.105,119.958,0.165,0.416,0.0,0.823,10,187453.0,-10.358,0,0.277
3hBBKuWJfxlIlnd9QFoC8k,0.615,0.0855,110.009,0.0671,0.0786,2.98e-06,0.795,5,199849.0,-5.211,0,0.393
0VgkVdmE4gld66l8iyGjgx,0.434,0.165,150.062,0.431,0.0102,0.0219,0.833,2,204600.0,-8.795,1,0.281
1YqcGlCHNquxBhlUZsjhMT,0.81,0.0952,171.083,0.0589,0.224,1.1e-05,0.728,1,190328.0,-5.2,1,0.784
6GNifiuBPrKFpwNBYnooFm,0.671,0.167,81.994,0.0599,0.68,0.0,0.749,6,268864.0,-5.151,1,0.756
6Za3190Sbw39BBC77WSS1C,0.813,0.255,79.997,0.0561,0.03,9.33e-05,0.814,2,232550.0,-3.023,0,0.839
5b2QnYcT9rQIkhRWt4HztQ,0.598,0.576,84.004,0.186,0.801,0.0,0.49,9,303781.0,-4.814,0,0.61
2z4pcBLQXF2BXKFvd0BuB6,0.709,0.094,98.062,0.0714,0.0233,0.0,0.845,10,187521.0,-4.547,0,0.62
0JcNysfWVWaMS7R6vzGB2k,0.858,0.364,95.049,0.0483,0.0826,0.0,0.742,10,194742.0,-4.946,1,0.64
1gjxuBurykxzaqbDaqKKYU,0.721,0.24,146.924,0.0575,0.174,0.0,0.797,9,228080.0,-4.912,0,0.627
3hmrgEKcLEQi0rlk3mJfZ7,0.604,0.159,118.091,0.423,0.00266,0.0,0.801,1,249934.0,-7.828,1,0.359
14EgW52HVqnLHd30bgbPxg,0.631,0.058,154.359,0.0566,0.0976,0.0,0.509,7,233248.0,-6.312,0,0.157
1ZyQGXH9dZ4AecevHhKUxi,0.68,0.175,139.843,0.0336,0.283,0.0,0.505,6,195701.0,-3.423,0,0.362
4EsYkJjHKMejYLp54woB9c,0.673,0.138,134.984,0.0733,0.0112,0.0,0.93,10,188563.0,-7.314,0,0.219
3fJaqjV813edLN5wrxUPkc,0.722,0.0746,115.03,0.038,0.00584,0.00104,0.755,7,233726.0,-6.097,1,0.133
7zLGHiDWd9T1Rxw4PQCb13,0.593,0.623,120.611,0.137,0.8,0.0,0.577,9,303781.0,-4.816,0,0.575
790MhTXPFrYkrqCKvpg4t1,0.718,0.241,146.885,0.0547,0.168,0.0,0.793,9,228080.0,-4.966,0,0.649
3ncgNpxLoBQ65ABk4djDyd,0.467,0.334,135.995,0.119,0.0149,0.000238,0.921,1,191252.0,-8.443,1,0.287
0bYg9bo50gSsH3LtXe2SQn,0.625,0.0708,150.277,0.0386,0.164,0.0,0.335,7,241107.0,-7.462,1,0.346
7lQ8MOhq6IN2w8EYcFNSUk,0.65,0.308,112.249,0.0858,0.00348,0.0,0.929,7,290227.0,-2.882,1,0.655
6sDQ4uiWw9OdVrCXFLSlZt,0.838,0.809,148.138,0.313,0.403,0.0,0.712,7,363521.0,-2.679,1,0.607
2vjmyyAnDUzilFYxOlTdO1,0.761,0.136,78.514,0.13,0.0485,0.0,0.689,1,157643.0,-4.939,1,0.698
1Qg9jWGDkKAGZXj5v2OG59,0.604,0.105,126.135,0.0542,0.0889,0.0,0.659,8,190643.0,-5.084,1,0.407
3whrwq4DtvucphBPUogRuJ,0.579,0.133,105.031,0.0321,0.398,2.28e-05,0.751,2,199095.0,-4.036,1,0.349
6sn8WaooLLVhQvU96wtEAm,0.583,0.421,105.997,0.0288,0.0262,0.0,0.534,2,231547.0,-8.672,1,0.145
22fRl49GSpRdu3J2EPj1i6,0.762,0.121,92.02,0.0347,0.0498,0.00819,0.602,2,159987.0,-6.149,0,0.112
0bcEHhsuLRDm712CQHomdm,0.796,0.0694,170.033,0.0823,0.0157,0.0,0.368,1,214427.0,-4.923,0,0.181
1zsG4eaZmkA1dvjDDsAGLK,0.895,0.097,96.022,0.0411,0.0322,0.0,0.724,7,173720.0,-3.617,1,0.64
68m6iwhKElLTBaGRG1LLwE,0.833,0.0592,159.808,0.0964,0.108,1.71e-05,0.456,0,172500.0,-4.242,1,0.261
2rE9TX3VQ0WNt7kziFhKep,0.55,0.157,106.435,0.158,0.261,0.0,0.542,0,214255.0,-5.072,0,0.172
5mAxA6Q1SIym6dPNiFLUyd,0.865,0.919,89.992,0.0522,0.0724,4.79e-06,0.545,6,205333.0,-2.601,0,0.332
6mVjlizvk7mq58DJl7pQ2j,0.804,0.763,125.882,0.363,0.173,0.0,0.656,8,188637.0,-5.191,0,0.314
0OI7AFifLSoGzpb8bdBLLV,0.718,0.0537,82.034,0.213,0.00413,0.0,0.653,3,202805.0,-5.232,0,0.216
5VJ1eVOnlAlaA2mQcwmKC8,0.921,0.109,95.967,0.051,0.00645,2.69e-06,0.581,6,210373.0,-4.319,0,0.829
6ayTAnEwP3Yo4DOjLsN5r2,0.711,0.11,113.026,0.0769,0.0207,3.04e-05,0.757,8,192377.0,-5.693,1,0.649
2FRnf9qhLbvw8fu4IBXx78,0.478,0.355,107.682,0.0293,0.189,2.48e-06,0.735,2,262960.0,-12.472,1,0.947
0UioblV1x795s55Ur58c6c,0.556,0.217,80.012,0.345,0.019,0.0,0.788,9,141009.0,-7.655,1,0.481
0taOCiup4HNG9LmbduVlJj,0.711,0.347,107.998,0.293,0.000662,0.0,0.721,7,156057.0,-9.294,1,0.511
3Ga6eKrUFf12ouh9Yw3v2D,0.679,0.068,166.008,0.135,0.18,7.26e-05,0.775,4,193456.0,-4.985,0,0.619
3S0OXQeoh0w6AY8WQVckRW,0.457,0.105,150.953,0.0468,0.595,0.0,0.686,11,242187.0,-8.322,1,0.718
7Ed6BkggCS2KaKY5YlINaF,0.842,0.23,169.917,0.219,0.0157,0.0,0.613,10,238726.0,-4.332,0,0.645
7krbSH3rd8lhIZvuzTV3Bl,0.607,0.0631,101.966,0.0574,0.104,0.0,0.529,6,234107.0,-6.781,1,0.238
5PB8zB1MOZASboLquvinMF,0.909,0.0972,93.984,0.0758,0.158,0.0,0.623,4,188787.0,-3.079,0,0.651
34t13rSSZtr22CjcmroMmh,0.746,0.0834,140.813,0.0894,0.151,0.0,0.56,9,214960.0,-5.098,1,0.259
3T7dNA7O8c3Axj5WyDNcH3,0.407,0.45,140.057,0.0504,0.706,0.0,0.703,8,125827.0,-12.155,1,0.849
6W6ijKiufUsBBcgJPKis6T,0.854,0.131,105.969,0.0818,0.00642,1.11e-06,0.762,0,224600.0,-2.757,0,0.615
7kK2m2KDEL0W8oFq6fuOcf,0.853,0.0852,76.499,0.272,0.107,0.0,0.661,1,135294.0,-2.287,1,0.655
5hslUAKq9I9CG2bAulFkHN,0.598,0.117,202.082,0.037,0.766,0.0,0.24,7,151933.0,-8.435,1,0.776
