track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
059bcIhyc2SBwm6sw2AZzd,0.777,0.0863,102.02,0.117,0.0446,3.46e-05,0.877,1,231848.0,-4.246,1,0.706
2RSHsoi04658QL5xgQVov3,0.637,0.368,177.913,0.0703,0.0722,0.0,0.383,3,260773.0,-6.993,1,0.0827
2qT1uLXPVPzGgFOx4jtEuo,0.713,0.294,121.993,0.0594,0.04,3.11e-06,0.699,9,205920.0,-5.507,0,0.354
2TIlqbIneP0ZY1O0EzYLlc,0.405,0.105,109.891,0.0319,0.751,0.0,0.501,1,182161.0,-5.679,1,0.446
58q2HKrzhC3ozto2nDdN4z,0.726,0.372,136.048,0.129,0.099,0.0,0.816,5,253390.0,-3.998,0,0.65
3id2EVGKc3eFAMn9nFnB0r,0.409,0.11,171.838,0.0505,0.172,0.0,0.538,9,205440.0,-6.581,0,0.265
2GGMabyHXnJmjY6CXhhB2e,0.59,0.11,130.003,0.29,0.00534,0.0,0.95,8,183527.0,-6.508,0,0.219
2BgEsaKNfHUdlh97KmvFyo,0.683,0.137,96.133,0.117,0.0372,0.0,0.697,1,186987.0,-2.881,0,0.603
7uiBocndm12aKbsdnQ3Scx,0.527,0.233,96.37,0.0966,0.172,0.0,0.441,3,187298.0,-5.318,1,0.589
48zFZh27QU5qsrBjn4C2FA,0.805,0.203,93.983,0.0752,0.315,0.0,0.754,6,176133.0,-4.249,1,0.555
7m9OqQk4RVRkw9JJdeAw96,0.391,0.297,134.021,0.242,0.469,4.13e-06,0.872,0,119133.0,-9.144,0,0.437
2FY7b99s15jUprqC0M5NCT,0.611,0.0812,100.0,0.0409,0.217,0.0,0.704,2,189467.0,-6.112,1,0.22
4uP3pUP18ennmz0tb3GphR,0.73,0.0778,179.972,0.125,0.287,8.1e-05,0.743,10,197968.0,-4.314,0,0.15
6DCZcSspjsKoFjzjrWoCdn,0.449,0.552,77.169,0.109,0.0332,8.29e-05,0.754,7,198973.0,-9.211,1,0.357
2D3z17LBMJ2HEHeBFFjTLi,0.74,0.101,176.059,0.191,0.0165,9.94e-05,0.747,4,158800.0,-4.325,0,0.552
5tAa8Uaqr4VvA3693mbIhU,0.699,0.0969,124.896,0.0578,0.423,0.0,0.665,11,190932.0,-5.265,1,0.585
7dNwJbsT0sg1le5kVugGJb,0.355,0.118,145.929,0.0895,0.616,0.0,0.8,6,228493.0,-10.47,0,0.253
40T5GIqQ1CegGm2PTEl8Bu,0.412,0.116,170.163,0.0402,0.737,0.0,0.483,7,203569.0,-8.461,1,0.247
4VUwkH455At9kENOfzTqmF,0.717,0.105,100.027,0.0337,0.346,0.0,0.638,2,180000.0,-4.722,1,0.249
0todbbT9g5uQGbeFCiBf2F,0.474,0.106,62.484,0.039,0.374,0.0,0.714,8,212293.0,-4.993,1,0.376
3WRIaWsws011vHMd9uzPjG,0.683,0.28,162.038,0.0776,0.013,0.0,0.734,1,228367.0,-6.105,1,0.445
0jAfdqv18goRTUxm3ilRjb,0.622,0.151,191.971,0.133,0.0235,0.0,0.736,6,192779.0,-4.653,0,0.506
0YammaEkYSeo9vQYZ1OwS6,0.66,0.192,95.031,0.123,0.137,0.0,0.703,10,198947.0,-5.119,0,0.79
7qiZfU4dY1lWllzX7mPBI3,0.652,0.0931,95.977,0.0802,0.581,0.0,0.825,1,233713.0,-3.183,0,0.931
5Fla3zyOCcIRqrDoKLU0DP,0.854,0.0773,94.419,0.198,0.288,0.0,0.531,10,190000.0,-3.149,1,0.456
3oh6SCCeLuXhFpEyepla6G,0.382,0.113,104.025,0.269,0.18,0.0,0.906,10,129264.0,-12.89,0,0.391
7K7MUBCnzgBAvMVW2RTWNs,0.764,0.0543,121.958,0.038,0.0476,9.44e-05,0.752,1,163216.0,-4.399,1,0.582
6mQLN3zRtAp6ovjusyYKrV,0.743,0.465,125.944,0.0393,0.237,0.0,0.67,10,218293.0,-4.993,1,0.571
1wJRveJZLSb1rjhnUHQiv6,0.662,0.111,93.023,0.303,0.0153,0.0,0.581,9,189487.0,-5.239,1,0.434
5vdp5UmvTsnMEMESIF2Ym7,0.528,0.163,109.967,0.161,0.112,0.312,0.933,5,214653.0,-6.472,0,0.754
0pqnGHJpmpxLKifKRmU6WP,0.78,0.081,124.949,0.128,0.0622,0.0,0.776,10,204347.0,-4.374,0,0.666
5wujBwqG7INdStqGd4tRMX,0.67,0.114,130.032,0.311,0.186,0.0,0.736,10,169999.0,-6.702,1,0.845
3swc6WTsr7rl9DqQKQA55C,0.559,0.112,140.124,0.117,0.58,0.0,0.739,8,221440.0,-8.011,1,0.439
7ef4DlsgrMEH11cDZd32M6,0.862,0.0814,123.994,0.11,0.037,2.19e-05,0.791,9,214847.0,-3.24,0,0.592
2P91MQbaiQOfbiz9VqhqKQ,0.505,0.104,91.97,0.253,0.535,2.55e-06,0.752,9,197437.0,-7.621,1,0.419
79OEIr4J4FHV0O3KrhaXRb,0.383,0.0922,100.021,0.565,0.00195,0.0,0.942,10,177806.0,-8.099,1,0.38
6GzApXoBQiiAjak3tOQfV3,0.52,0.105,159.927,0.0346,0.0132,0.0,0.611,0,149878.0,-5.445,1,0.771
0tgVpDi06FyKpA1z0VMD4v,0.448,0.106,95.05,0.0232,0.163,0.0,0.599,8,263400.0,-6.312,1,0.168
2G7V7zsVDxg1yRsu7Ew9RJ,0.626,0.396,91.03,0.125,0.0589,6e-05,0.835,1,217925.0,-5.833,1,0.35
04MLEeAMuV9IlHEsD8vF6A,0.704,0.227,147.055,0.127,0.0215,0.0,0.765,5,192172.0,-4.589,0,0.498
0LQ1J0BCzA2qnAgp9MkkNE,0.825,0.103,100.006,0.0424,0.689,0.0,0.719,5,206550.0,-3.627,0,0.789
5T8EDUDqKcs6OSOwEsfqG7,0.868,0.776,156.295,0.17,0.0475,0.000176,0.559,5,209413.0,-5.276,1,0.609
5rFj8OzffT0iggSjcBaeND,0.407,0.18,115.124,0.046,0.476,0.0,0.584,1,246735.0,-7.356,0,0.341
1mT47pKLXUwPYGwB91GcNz,0.872,0.11,96.939,0.0547,0.154,0.000146,0.715,6,212493.0,-3.501,1,0.682
13hvHEstJ4sNbzdroPrPI3,0.729,0.189,99.986,0.146,0.0557,0.0,0.675,8,190560.0,-4.383,1,0.63
1fewSx2d5KIZ04wsooEBOz,0.464,0.238,109.004,0.0645,0.368,1.71e-05,0.901,5,203267.0,-9.789,0,0.638
0TlLq3lA83rQOYtrqBqSct,0.412,0.104,154.983,0.124,0.0164,0.013,0.912,7,238614.0,-8.074,1,0.422
6Gy7rXB6Ku5vIWC7WGWsl3,0.715,0.182,94.513,0.245,0.128,0.0,0.745,1,136032.0,-3.368,0,0.342
7pdF27mSDuPWhppnHAmWHa,0.525,0.101,160.147,0.0441,0.653,0.918,0.735,6,157777.0,-2.939,0,0.369
4OafepJy2teCjYJbvFE60J,0.656,0.213,100.049,0.0433,0.0211,1.37e-05,0.568,8,198160.0,-5.413,1,0.364
76cy1WJvNGJTj78UqeA5zr,0.544,0.0824,97.028,0.0943,0.0403,0.0,0.836,7,217947.0,-5.975,1,0.51
1mXVgsBdtIVeCLJnSnmtdV,0.375,0.173,91.92,0.0491,0.652,0.0,0.698,5,201000.0,-8.279,1,0.534
2XXMDz7SPZ4mSFN1PXfHUy,0.732,0.106,100.048,0.213,0.307,5.14e-06,0.772,9,254383.0,-3.713,0,0.295
4NBTZtAt1F13VvlSKe6KTl,0.571,0.0912,105.049,0.0439,0.0558,0.0,0.575,1,197947.0,-7.906,1,0.449
4KkUjFkcQvGvWekl8RATDn,0.902,0.125,102.063,0.109,0.172,0.0,0.635,0,217822.0,-3.559,1,0.286
7lAK3oHbfEnvUQWosrMMpR,0.554,0.116,128.047,0.0409,0.283,3.4e-06,0.785,0,150043.0,-6.571,1,0.144
4OBZT9EnhYIV17t4pGw7ig,0.371,0.109,75.208,0.0405,0.795,0.0,0.473,4,209400.0,-10.219,0,0.413
3jq1RpStaB1YGyN3rRZGca,0.313,0.19,135.034,0.0347,0.582,0.0,0.68,3,144724.0,-13.672,0,0.405
2rbDhOo9Fh61Bbu23T2qCk,0.502,0.764,129.976,0.0409,0.299,0.0,0.553,0,210200.0,-5.972,1,0.296
3NuK5xMlSlB6K2Qp16zf3h,0.622,0.356,104.966,0.0446,0.0357,4.85e-05,0.74,11,222707.0,-4.608,0,0.556
7wcyO1rrH3Ru4t659IjG41,0.597,0.152,158.043,0.23,0.0415,0.0,0.781,10,149949.0,-6.794,0,0.544
5uCax9HTNlzGybIStD3vDh,0.557,0.0902,85.043,0.059,0.695,0.0,0.358,10,211467.0,-7.398,1,0.494
51NFxnQvaosfDDutk0tams,0.573,0.482,99.939,0.106,0.46,0.0734,0.695,4,179172.0,-8.597,0,0.408
1zB4vmk8tFRmM9UULNzbLB,0.822,0.147,167.997,0.0438,0.00671,0.134,0.605,0,187147.0,-4.833,1,0.288
7AFASza1mXqntmGtbxXprO,0.308,0.0984,64.934,0.029,0.883,0.0,0.669,11,121887.0,-10.068,1,0.52
14sOS5L36385FJ3OL8hew4,0.575,0.252,117.999,0.0801,0.374,0.0,0.693,9,211362.0,-6.998,1,0.492
1rCcsYnmqbMYdkG7kS9GC5,0.728,0.0851,125.047,0.062,0.0161,1.42e-06,0.574,1,214942.0,-4.777,1,0.266
1KVczjazCcCCgM3gXXUl47,0.601,0.117,147.018,0.164,0.168,0.0,0.612,8,223543.0,-7.089,1,0.525
4jvjzW7Hm0yK4LvvE0Paz9,0.574,0.146,120.013,0.0286,0.0175,0.00294,0.669,4,196400.0,-6.442,0,0.273
09IStsImFySgyp0pIQdqAc,0.657,0.112,107.01,0.0449,0.171,0.0,0.753,7,184732.0,-3.061,1,0.437
7uQmJ1jgNzBpATSoWKSPFu,0.832,0.0705,182.184,0.154,0.048,0.0,0.632,7,198933.0,-1.948,0,0.784
7FjZU7XFs7P9jHI9Z0yRhK,0.872,0.103,125.03,0.0666,0.121,7.08e-06,0.7,10,190302.0,-5.896,1,0.761
75ZvA4QfFiZvzhj2xkaWAh,0.538,0.196,143.95,0.0382,0.0689,0.0,0.556,8,223347.0,-5.408,0,0.291
1rfofaqEpACxVEHIZBJe6W,0.523,0.132,104.988,0.03,0.184,3.56e-05,0.765,2,217307.0,-4.333,1,0.394
5OCJzvD7sykQEKHH7qAC3C,0.658,0.237,145.031,0.0558,0.0233,6e-05,0.602,1,197547.0,-5.934,1,0.268
2fuCquhmrzHpu5xcA1ci9x,0.712,0.103,113.805,0.0476,0.429,0.0,0.671,2,248440.0,-7.815,1,0.462
3V8UKqhEK5zBkBb6d6ub8i,0.675,0.0595,96.507,0.214,0.542,1.28e-05,0.903,11,417920.0,-3.445,0,0.442
